brancher concentration,motor concentration,linker concentration,avalanche time,time,mean displacement,rg,shape,density,clique number,average clustering,mean closeness,mean betweenness,assortativity,avalanche,prediction
0.02,0.5,0.01,830,820,26.9701972247841,0.31803609229849794,-0.00016412414382899998,0.0015612794803620002,4,0.19076923076923102,0.0007221793695860001,1.05420659689902e-06,0.788722078362694,0,0
0.02,0.5,0.01,840,830,23.857835133512303,0.32106777429600103,-0.0003768487707180001,0.0015378133558039998,5,0.173198086755731,0.0006902450814960001,9.465682737457199e-07,0.801751599139251,0,0
0.02,0.5,0.01,850,840,25.2035279854678,0.32279282498246503,0.00047273511981000004,0.00155565699483,5,0.168848223134645,0.0007244752683570001,1.11799831218961e-06,0.780097926823396,0,0
0.02,0.5,0.01,860,850,27.3492069399775,0.323649622310701,-0.00016179697637399998,0.001565477910204,5,0.17528735632183898,0.0007415994855110001,1.33340223256595e-06,0.7951026272959301,0,0
0.02,0.5,0.01,140,130,23.748645956514203,0.336324735617679,0.002325933181337,0.001522099067604,4,0.15390702274975301,0.000659375915028,8.2183948892322e-07,0.7944575009792421,0,0
0.02,0.5,0.01,160,150,31.6216782750713,0.326783013086288,0.0019259276655860002,0.001508057077881,5,0.149229760734186,0.0006530606880850001,9.342382102336891e-07,0.7984520057271058,0,0
0.02,0.5,0.01,170,160,23.4970851910201,0.32739625210725,0.001449444253967,0.00151800641975,4,0.158740338760072,0.000654689381567,8.25870720171954e-07,0.8019865621063029,0,0
0.02,0.5,0.01,180,170,21.685933761153496,0.32536716626526097,0.003674182342876,0.001521391984869,5,0.145945051307514,0.000665424280222,1.049158406122e-06,0.8097919566035959,0,0
0.02,0.5,0.01,190,180,25.7958623588216,0.325300922315023,0.003633820074347,0.001518603256229,5,0.137532938076416,0.000675951022247,1.4622213722318702e-06,0.8022019197274101,0,0
0.02,0.5,0.01,200,190,24.4422253805103,0.32480620171652697,0.000769400885696,0.0015314904447349998,5,0.151834040546912,0.000688008455943,1.09864062068486e-06,0.8110715533176459,0,0
0.02,0.5,0.01,210,200,26.337312086102,0.32396360491668397,0.004068779078218,0.0015287132222620002,4,0.154662698412699,0.0006881978296310001,1.2728948485107e-06,0.7892601438142121,0,0
0.02,0.5,0.01,220,210,27.9857300342165,0.32112348927534806,0.005045280903172,0.0015621922879989999,5,0.166583994708995,0.0007288773524949999,1.06290508955723e-06,0.7909797432557759,0,0
0.02,0.5,0.01,240,230,34.6673003755155,0.304894922523689,0.009328433709772,0.0015356463182550001,5,0.15206584362139902,0.000705060443368,1.0608495639336598e-06,0.788308369912777,0,0
0.02,0.5,0.01,250,240,24.3771130797093,0.306914507263421,0.013116713866972001,0.001536943569504,6,0.16895604395604402,0.000688488079765,1.26218847938388e-06,0.813957654233333,0,0
0.02,0.5,0.01,260,250,23.791076622859897,0.30605197035681,0.009489656909486999,0.001565162223202,5,0.18561801446416798,0.0007298180945069999,1.07871968215228e-06,0.8030980757593629,0,0
0.02,0.5,0.01,270,260,24.3864687680299,0.30299101867644107,0.016791570256542,0.0015440028603860003,4,0.18427206851119898,0.000695044770899,1.2431176576086599e-06,0.77496141357223,0,0
0.02,0.5,0.01,280,270,31.964601876941,0.30073076730591203,0.021523465718124,0.0015699884316640001,4,0.17947446703024303,0.0007417721919510002,1.2590409538927799e-06,0.773013231964049,0,0
0.02,0.5,0.01,290,280,22.841066666736804,0.30023253217038504,0.022171870609761002,0.0015721216989760002,5,0.16400330851943803,0.0007492239936289999,1.1611941219442801e-06,0.77511204070062,0,0
0.02,0.5,0.01,300,290,24.923891923480397,0.30036812450513106,0.022606895518732,0.0015630500598470003,6,0.175385878489327,0.000735417657865,9.80238595820614e-07,0.8043565606406221,0,0
0.02,0.5,0.01,310,300,22.9608264820221,0.299316132421592,0.018842721191347,0.0015719736223699999,5,0.17491781722551,0.0007660985627069999,1.61159567830007e-06,0.807615723965183,0,0
0.02,0.5,0.01,320,310,36.264623312087004,0.298771665373689,0.011746535603584999,0.001586779276809,5,0.19279368213228,0.0007549492019169999,1.0910715232789101e-06,0.794153625967082,0,0
0.02,0.5,0.01,330,320,30.4576780794704,0.29878790281693796,0.008696431338244,0.001548612168081,4,0.177018837018837,0.0007144189770619999,9.32860954886907e-07,0.7774147783010159,0,0
0.02,0.5,0.01,340,330,23.1273449130726,0.299611493418531,0.009544521021967,0.0015490811822400001,5,0.172290945076695,0.000704005616296,9.846639463881399e-07,0.800148100976606,0,0
0.02,0.5,0.01,350,340,22.154598638912695,0.30341521891715,0.009311352714732001,0.0015479282937129997,5,0.17996061053668105,0.0007042074553680001,1.11434864737063e-06,0.8159453470963609,0,0
0.02,0.5,0.01,360,350,23.9240878031156,0.3046861565756,0.008379489814185001,0.0015555060971070003,4,0.17773392534122698,0.000730288197044,1.19311142771493e-06,0.7902229462348549,0,0
0.02,0.5,0.01,380,370,25.840768196637804,0.304312670082888,0.007428384571018,0.001591629876211,5,0.189784451212314,0.0007897534026989998,1.5290097974378402e-06,0.7901563728953651,0,0
0.02,0.5,0.01,390,380,23.9600513400001,0.30540162454402003,0.005348315258945999,0.001574732803481,5,0.177464091134225,0.000772551330066,1.27939483651727e-06,0.7862983251961121,0,0
0.02,0.5,0.01,430,420,26.6581404451662,0.29582347979704804,0.0032230110980480003,0.001579155342938,5,0.185525822915203,0.0007657549576339999,1.30793349432716e-06,0.814916216384173,0,0
0.02,0.5,0.01,440,430,27.316849317803896,0.298475736413,0.002842316101581,0.001577799910329,4,0.188383588729609,0.0007578042528180001,1.77333433450032e-06,0.8100908685799971,0,0
0.02,0.5,0.01,450,440,23.9827028659298,0.303632353553193,0.0033342510581359994,0.001548065865464,6,0.17213734187612897,0.0007208255926969999,1.52480769245996e-06,0.8194742869836059,0,0
0.02,0.5,0.01,460,450,21.9736067471964,0.30391189774036603,0.004256734427225,0.0015420432121020003,4,0.182791994750656,0.000696910391896,1.30058107326815e-06,0.802487462441229,0,0
0.02,0.5,0.01,470,460,23.4019495676324,0.303194576799416,0.004211910456037001,0.0015561411213590001,5,0.167473251028807,0.000757355089328,1.91280969576943e-06,0.7912062287245379,0,0
0.02,0.5,0.01,480,470,24.364615740032303,0.303350502671599,0.002575834642788,0.00156679858179,4,0.182904290429043,0.0007560187788180001,1.66922415914273e-06,0.7845818398923141,0,0
0.02,0.5,0.01,490,480,24.220052522361,0.302084899847767,0.002240323114611,0.0015593691976820002,5,0.17687142150279198,0.000737971249807,1.71915822083784e-06,0.804466712791547,0,0
0.02,0.5,0.01,500,490,23.612807505313697,0.30483209211789697,0.0016301359317939998,0.001592575680381,5,0.20117045829212,0.000780792651411,1.31150269856763e-06,0.795149754830907,0,0
0.02,0.5,0.01,510,500,25.4996493629344,0.306325566294499,0.0006945172026499999,0.0015586051761220002,4,0.170546038038605,0.000724251363962,1.35271215013131e-06,0.8001240891329608,0,0
