,rg,mean_displacement,shape,density,clique_number,average_clustering,mean_closeness,mean_betweenness,assortativity
9604,0.3581553044160582,21.326237111717504,0.004323169075069944,0.0015219399954388825,4,0.06076345431789736,0.00031050023078204464,1.8364834534009518e-07,0.8763271973361821
9605,0.3630711223743163,19.59770966406805,0.002200544772091893,0.0015423161230812153,5,0.06600810536980753,0.00033842566866253967,2.715442111579483e-07,0.8788705868421092
9606,0.36498523598848215,18.54325855263518,-0.003053280038616953,0.0015327408730636935,4,0.062400669176076964,0.00033553525668112783,4.2498735002146934e-07,0.9036426190732172
9607,0.362202882880849,23.055670151614088,-0.000910567741341648,0.0015320432743300258,4,0.06906850459482036,0.00032455239407067283,1.6216009949315656e-07,0.8801627101134228
9608,0.36400302699023795,20.37467531415918,0.0007594289505818303,0.0015316055899277465,5,0.0638871473354232,0.00032966985417683564,3.594980961156135e-07,0.906964604646923
9609,0.3660474466686012,20.687718375863366,0.004728804910985132,0.0015531775786537972,5,0.06595477386934671,0.00035738970079979656,4.107004113619023e-07,0.9021318527771434
9610,0.3652560132762193,19.378957467332608,0.0013744896668455233,0.0015229524510016008,5,0.06328108672936257,0.0003074722663313942,4.380148506243807e-07,0.9254900249784576
9611,0.3669535849086877,21.291948579079488,0.005918460174837057,0.0015421925125687116,4,0.05602258469259723,0.00034674682166170026,4.0717647155724025e-07,0.8861016791248871
9612,0.3684232521403325,22.417521968684078,0.005654013696275769,0.0015103660671090256,4,0.05866248693834901,0.0003137574251090439,5.846782222539647e-07,0.8956531874492093
9613,0.3635509152811143,33.25235563958791,0.0014918452886509394,0.001527329295024395,7,0.050625074591240014,0.00030617018685231783,2.0405556592755867e-07,0.943711311723084
9614,0.3652116941322248,27.15191410119675,2.4066356368666893e-05,0.001519805855028457,3,0.06332288401253919,0.00030815806241302505,2.434513205837877e-07,0.8988811326707673
9615,0.36511516855275616,25.569693447781354,0.0054069965355292285,0.001521829652501159,4,0.06581035923141185,0.0003133635624187955,2.745385271054352e-07,0.9064443875794116
9616,0.3606679404649372,26.503360624680013,0.007121995561704854,0.001526780165737665,4,0.05827578991420799,0.0003125510787476811,2.805546091546452e-07,0.9034511449660504
9617,0.3602702849026293,22.74129222994372,0.002835808514867984,0.001527329295024395,4,0.06405597326649959,0.00030881902017365734,1.4540191291939568e-07,0.9030941307606548
9618,0.3602427163474302,24.107958910916672,-0.0008990498713131791,0.0015310682892779419,4,0.059254606365159126,0.00032299460290671956,4.707907980303304e-07,0.8982637814154385
9619,0.363107979932242,24.979954451199283,0.0010879246249575053,0.001507530519170684,4,0.05947136563876651,0.0002742971662507315,1.1087449328895721e-07,0.9211517642698456
